Country Code,Country Name,Region,Income Group,Year,% of female pop. age 25+ with no education,% of female pop. age 25+ with primary schooling,% of female pop. age 25+ with secondary schooling,% of female pop. age 25+ with tertiary schooling,% of pop. age 25+ with no education,% of pop. age 25+ with primary schooling,% of pop. age 25+ with secondary schooling,% of pop. age 25+ with tertiary schooling,"Avg. years of primary schooling, age 25+, female","Avg. years of primary schooling, age 25+, total","Avg. years of secondary schooling, age 25+, female","Avg. years of secondary schooling, age 25+, total","Avg. years of tertiary schooling, age 25+, female","Avg. years of tertiary schooling, age 25+, total","Avg. years of total schooling, age 25+, female","Avg. years of total schooling, age 25+, total","Pop. in thousands, age 25+, female","Pop. in thousands, age 25+, total",Life Expectancy at birth
ABW,Aruba,Latin America & Caribbean,High income: nonOECD,1970,,,,,,,,,,,,,,,,,,,69.14
ABW,Aruba,Latin America & Caribbean,High income: nonOECD,1975,,,,,,,,,,,,,,,,,,,70.833
ABW,Aruba,Latin America & Caribbean,High income: nonOECD,1980,,,,,,,,,,,,,,,,,,,72.293
ABW,Aruba,Latin America & Caribbean,High income: nonOECD,1985,,,,,,,,,,,,,,,,,,,73.181
ABW,Aruba,Latin America & Caribbean,High income: nonOECD,1990,,,,,,,,,,,,,,,,,,,73.468
ABW,Aruba,Latin America & Caribbean,High income: nonOECD,1995,,,,,,,,,,,,,,,,,,,73.622
ABW,Aruba,Latin America & Caribbean,High income: nonOECD,2000,,,,,,,,,,,,,,,,,,,73.787
ABW,Aruba,Latin America & Caribbean,High income: nonOECD,2005,,,,,,,,,,,,,,,,,,,74.287
ABW,Aruba,Latin America & Caribbean,High income: nonOECD,2010,,,,,,,,,,,,,,,,,,,75.017
AFG,Afghanistan,South Asia,Low income,1970,99.25,0.02,0.05,0.09,94.22,0.13,0.23,0.71,0.03,0.23,0.01,0.09,0.01,0.04,0.05,0.35,2308.0,4785.0,37.409
AFG,Afghanistan,South Asia,Low income,1975,98.37,0.05,0.09,0.23,90.98,0.21,0.39,1.46,0.07,0.37,0.03,0.18,0.01,0.08,0.11,0.62,2598.0,5380.0,40.128
AFG,Afghanistan,South Asia,Low income,1980,97.6,0.1,0.13,0.37,89.0,0.3,0.5,1.9,0.1,0.46,0.05,0.23,0.02,0.1,0.17,0.78,2713.0,5618.0,43.244
AFG,Afghanistan,South Asia,Low income,1985,95.97,0.18,0.19,0.66,84.62,0.5,0.82,2.98,0.17,0.66,0.08,0.35,0.03,0.15,0.28,1.16,2439.0,5049.0,46.761
AFG,Afghanistan,South Asia,Low income,1990,94.29,0.25,0.42,0.95,80.7,0.88,1.31,3.7,0.25,0.85,0.13,0.45,0.05,0.19,0.42,1.49,2519.0,5206.0,50.331
AFG,Afghanistan,South Asia,Low income,1995,92.3,0.33,0.82,1.25,75.87,1.81,1.7,4.37,0.37,1.14,0.17,0.5,0.06,0.22,0.6,1.86,3500.0,7229.0,53.398
AFG,Afghanistan,South Asia,Low income,2000,90.53,0.4,1.09,1.62,73.35,3.33,1.92,4.95,0.48,1.38,0.21,0.53,0.08,0.25,0.78,2.16,3964.0,8171.0,55.841
AFG,Afghanistan,South Asia,Low income,2005,88.68,0.42,1.93,1.85,71.58,5.09,3.67,5.3,0.63,1.69,0.27,0.65,0.09,0.26,1.0,2.6,4969.0,10242.0,58.29
AFG,Afghanistan,South Asia,Low income,2010,84.35,0.8,1.67,1.98,66.02,8.1,5.74,5.51,0.81,2.19,0.25,0.76,0.1,0.28,1.16,3.23,5964.0,12284.0,61.028
AGO,Angola,Sub-Saharan Africa,Upper middle income,1970,,,,,,,,,,,,,,,,,,,40.914
AGO,Angola,Sub-Saharan Africa,Upper middle income,1975,,,,,,,,,,,,,,,,,,,42.721
AGO,Angola,Sub-Saharan Africa,Upper middle income,1980,,,,,,,,,,,,,,,,,,,44.178
AGO,Angola,Sub-Saharan Africa,Upper middle income,1985,,,,,,,,,,,,,,,,,,,45.107
AGO,Angola,Sub-Saharan Africa,Upper middle income,1990,,,,,,,,,,,,,,,,,,,45.306
AGO,Angola,Sub-Saharan Africa,Upper middle income,1995,,,,,,,,,,,,,,,,,,,45.246
AGO,Angola,Sub-Saharan Africa,Upper middle income,2000,,,,,,,,,,,,,,,,,,,46.522
AGO,Angola,Sub-Saharan Africa,Upper middle income,2005,,,,,,,,,,,,,,,,,,,50.165
AGO,Angola,Sub-Saharan Africa,Upper middle income,2010,,,,,,,,,,,,,,,,,,,55.35
ALB,Albania,Europe & Central Asia,Upper middle income,1970,48.28,21.01,4.25,0.57,43.8,22.97,6.24,1.67,1.82,2.09,0.77,1.14,0.03,0.09,2.62,3.31,427.0,854.0,66.935
ALB,Albania,Europe & Central Asia,Upper middle income,1975,42.6,21.93,6.6,1.06,38.8,22.6,8.98,2.3,2.1,2.33,1.14,1.53,0.06,0.12,3.3,3.98,484.0,964.0,68.736
ALB,Albania,Europe & Central Asia,Upper middle income,1980,37.23,22.0,9.28,1.58,33.33,21.72,12.21,2.99,2.66,2.92,1.46,1.88,0.08,0.15,4.21,4.95,561.0,1142.0,70.208
ALB,Albania,Europe & Central Asia,Upper middle income,1985,21.91,20.53,15.86,2.24,19.75,18.81,19.26,3.66,3.77,3.96,2.24,2.6,0.11,0.18,6.13,6.75,654.0,1330.0,71.388
ALB,Albania,Europe & Central Asia,Upper middle income,1990,15.18,18.54,20.18,2.68,13.53,16.57,23.79,4.05,4.65,4.82,2.5,2.81,0.14,0.2,7.29,7.83,773.0,1571.0,71.836
ALB,Albania,Europe & Central Asia,Upper middle income,1995,19.38,14.51,21.18,2.92,17.13,13.14,24.6,4.11,4.73,4.92,2.44,2.7,0.15,0.2,7.31,7.82,802.0,1608.0,72.205
ALB,Albania,Europe & Central Asia,Upper middle income,2000,2.16,17.02,26.45,3.77,1.52,15.66,29.62,5.05,5.9,6.04,2.78,3.04,0.19,0.25,8.87,9.32,822.0,1622.0,73.955
ALB,Albania,Europe & Central Asia,Upper middle income,2005,3.56,15.35,30.61,2.51,2.51,13.16,34.67,3.06,6.33,6.41,2.92,3.12,0.13,0.15,9.37,9.69,877.0,1704.0,75.228
ALB,Albania,Europe & Central Asia,Upper middle income,2010,5.25,12.28,37.22,1.0,3.86,10.62,42.03,0.99,6.56,6.67,2.96,3.14,0.05,0.05,9.57,9.85,952.0,1832.0,76.562
AND,Andorra,Europe & Central Asia,High income: nonOECD,1970,,,,,,,,,,,,,,,,,,,
AND,Andorra,Europe & Central Asia,High income: nonOECD,1975,,,,,,,,,,,,,,,,,,,
AND,Andorra,Europe & Central Asia,High income: nonOECD,1980,,,,,,,,,,,,,,,,,,,
AND,Andorra,Europe & Central Asia,High income: nonOECD,1985,,,,,,,,,,,,,,,,,,,
AND,Andorra,Europe & Central Asia,High income: nonOECD,1990,,,,,,,,,,,,,,,,,,,
AND,Andorra,Europe & Central Asia,High income: nonOECD,1995,,,,,,,,,,,,,,,,,,,
AND,Andorra,Europe & Central Asia,High income: nonOECD,2000,,,,,,,,,,,,,,,,,,,
AND,Andorra,Europe & Central Asia,High income: nonOECD,2005,,,,,,,,,,,,,,,,,,,
AND,Andorra,Europe & Central Asia,High income: nonOECD,2010,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,Middle East & North Africa,High income: nonOECD,1970,86.13,0.36,6.19,1.55,77.59,1.01,8.85,3.29,0.79,1.25,0.63,0.97,0.08,0.17,1.5,2.39,32.0,102.0,61.215
ARE,United Arab Emirates,Middle East & North Africa,High income: nonOECD,1975,79.3,0.59,9.87,2.43,72.2,1.53,11.48,3.73,1.18,1.56,0.97,1.21,0.13,0.19,2.28,2.96,62.0,273.0,65.244
ARE,United Arab Emirates,Middle East & North Africa,High income: nonOECD,1980,69.53,1.56,14.48,3.08,65.02,2.76,14.34,3.94,1.71,1.95,1.34,1.44,0.16,0.21,3.21,3.59,116.0,546.0,68.213
ARE,United Arab Emirates,Middle East & North Africa,High income: nonOECD,1985,59.85,2.09,19.44,4.71,56.86,3.46,17.65,5.29,2.28,2.42,1.81,1.79,0.24,0.27,4.33,4.47,206.0,787.0,70.363
ARE,United Arab Emirates,Middle East & North Africa,High income: nonOECD,1990,47.56,2.99,24.61,7.28,46.41,4.35,21.47,7.17,2.98,3.02,2.39,2.25,0.37,0.36,5.74,5.63,266.0,1033.0,71.939
ARE,United Arab Emirates,Middle East & North Africa,High income: nonOECD,1995,33.22,4.18,29.72,10.72,33.18,5.49,26.09,9.57,3.8,3.78,3.05,2.83,0.54,0.48,7.39,7.09,341.0,1365.0,73.194
ARE,United Arab Emirates,Middle East & North Africa,High income: nonOECD,2000,21.33,5.63,32.6,14.01,21.18,7.35,28.92,11.79,4.46,4.44,3.54,3.26,0.7,0.59,8.7,8.29,467.0,1940.0,74.327
ARE,United Arab Emirates,Middle East & North Africa,High income: nonOECD,2005,10.9,7.5,34.8,16.68,11.2,11.8,29.1,11.92,5.03,4.9,3.92,3.29,0.84,0.6,9.79,8.79,650.0,2725.0,75.376
ARE,United Arab Emirates,Middle East & North Africa,High income: nonOECD,2010,9.32,7.3,38.72,15.19,10.2,11.67,32.14,10.65,5.13,4.97,4.04,3.37,0.76,0.53,9.93,8.88,816.0,3174.0,76.332
ARG,Argentina,Latin America & Caribbean,Upper middle income,1970,9.42,31.22,10.56,1.82,8.3,30.6,8.39,2.92,4.89,4.96,0.8,0.83,0.09,0.14,5.78,5.92,6448.0,12805.0,66.483
ARG,Argentina,Latin America & Caribbean,Upper middle income,1975,7.86,34.96,12.35,3.02,6.93,33.11,10.29,3.78,5.2,5.23,0.97,1.01,0.14,0.18,6.31,6.43,7086.0,13954.0,67.985
ARG,Argentina,Latin America & Caribbean,Upper middle income,1980,6.7,35.2,14.28,3.71,7.1,33.0,13.78,3.68,5.4,5.33,1.18,1.19,0.19,0.2,6.77,6.72,7735.0,14990.0,69.496
ARG,Argentina,Latin America & Caribbean,Upper middle income,1985,6.54,36.57,16.95,5.54,5.64,35.93,14.87,5.65,5.63,5.69,1.43,1.45,0.28,0.3,7.33,7.45,8387.0,16122.0,70.65
ARG,Argentina,Latin America & Caribbean,Upper middle income,1990,6.2,34.7,19.03,7.27,5.7,34.6,16.76,6.59,5.77,5.81,1.71,1.69,0.38,0.37,7.86,7.88,9040.0,17296.0,71.594
ARG,Argentina,Latin America & Caribbean,Upper middle income,1995,5.3,36.36,20.77,7.49,4.94,36.4,19.77,6.15,6.03,6.06,1.92,1.9,0.42,0.38,8.37,8.34,9704.0,18533.0,72.651
ARG,Argentina,Latin America & Caribbean,Upper middle income,2000,4.53,34.37,23.14,5.4,4.27,34.97,23.23,4.03,6.16,6.18,2.1,2.06,0.36,0.3,8.62,8.55,10508.0,20007.0,73.576
ARG,Argentina,Latin America & Caribbean,Upper middle income,2005,1.32,34.96,26.6,4.98,1.08,34.98,26.79,3.95,6.48,6.54,2.36,2.39,0.37,0.33,9.21,9.26,11504.0,21905.0,74.451
ARG,Argentina,Latin America & Caribbean,Upper middle income,2010,1.42,32.51,31.31,4.44,1.12,32.99,31.06,3.38,6.56,6.61,2.58,2.56,0.35,0.3,9.48,9.48,12435.0,23710.0,75.278
ARM,Armenia,Europe & Central Asia,Lower middle income,1970,4.84,21.69,39.67,6.52,3.29,21.48,40.09,8.57,3.69,3.77,3.97,4.14,0.35,0.44,8.01,8.34,594.0,1101.0,70.144
ARM,Armenia,Europe & Central Asia,Lower middle income,1975,4.01,19.03,42.95,7.74,2.74,18.65,43.47,9.6,3.75,3.81,4.29,4.44,0.41,0.49,8.45,8.75,668.0,1245.0,70.783
ARM,Armenia,Europe & Central Asia,Lower middle income,1980,3.23,16.24,47.72,9.21,2.2,15.72,47.94,10.75,3.8,3.85,4.65,4.79,0.49,0.55,8.94,9.19,770.0,1440.0,70.937
ARM,Armenia,Europe & Central Asia,Lower middle income,1985,2.09,14.5,52.27,10.5,1.44,13.59,52.46,12.02,3.86,3.9,4.95,5.08,0.54,0.6,9.35,9.58,893.0,1684.0,69.698
ARM,Armenia,Europe & Central Asia,Lower middle income,1990,1.61,11.51,56.49,11.3,1.11,10.77,56.38,12.6,4.56,4.62,4.76,4.83,0.57,0.63,9.9,10.08,1018.0,1907.0,67.879
ARM,Armenia,Europe & Central Asia,Lower middle income,1995,1.35,9.84,58.57,12.09,0.95,9.27,58.31,13.16,4.97,5.02,4.72,4.76,0.61,0.65,10.29,10.44,981.0,1797.0,68.938
ARM,Armenia,Europe & Central Asia,Lower middle income,2000,1.04,7.29,61.57,13.03,0.73,6.82,61.23,13.92,5.31,5.37,4.72,4.75,0.65,0.69,10.69,10.81,970.0,1745.0,71.409
ARM,Armenia,Europe & Central Asia,Lower middle income,2005,0.78,6.26,63.57,12.87,0.57,5.99,62.93,13.44,5.35,5.39,4.75,4.75,0.64,0.66,10.75,10.8,1012.0,1786.0,72.626
ARM,Armenia,Europe & Central Asia,Lower middle income,2010,0.54,4.82,64.88,13.7,0.41,4.65,63.32,14.48,5.13,5.13,5.02,5.02,0.69,0.72,10.84,10.87,1070.0,1879.0,73.331
ASM,American Samoa,East Asia & Pacific,Upper middle income,1970,,,,,,,,,,,,,,,,,,,
ASM,American Samoa,East Asia & Pacific,Upper middle income,1975,,,,,,,,,,,,,,,,,,,
ASM,American Samoa,East Asia & Pacific,Upper middle income,1980,,,,,,,,,,,,,,,,,,,
ASM,American Samoa,East Asia & Pacific,Upper middle income,1985,,,,,,,,,,,,,,,,,,,
ASM,American Samoa,East Asia & Pacific,Upper middle income,1990,,,,,,,,,,,,,,,,,,,
ASM,American Samoa,East Asia & Pacific,Upper middle income,1995,,,,,,,,,,,,,,,,,,,
ASM,American Samoa,East Asia & Pacific,Upper middle income,2000,,,,,,,,,,,,,,,,,,,
